product_title,product_variant_title,quantity_sold
CHRISTMAS SPARKLE,PIGGIE SET (2 MINI BOWS),0
CHRISTMAS SPARKLE,BIG BOW,0
CHRISTMAS TREE TRUCKS,BIG BOW,0
CHRISTMAS TREE TRUCKS,LITTLE BOW,0
CHRISTMAS WORDS,BIG BOW,0
CHRISTMAS WORDS,LITTLE BOW,0
CLEARANCE ANIMALS,Flamingos / Big Bow,0
CLEARANCE ANIMALS,Butterfly 2 / Little Bow,0
CLEARANCE ANIMALS,Crawfish / Little Bow,0
CLEARANCE ANIMALS,Butterfly 1 / Little Bow,0
CLEARANCE ANIMALS,Crawfish / Big Bow,0
CLEARANCE ANIMALS,Flamingos / Little Bow,0
CLEARANCE ANIMALS,Butterfly 1 / Big Bow,0
CLEARANCE Audrey Floral,Big Bow / Clip,0
CLEARANCE Audrey Floral,Little Bow / Nude Nylon,0
CLEARANCE Audrey Floral,Little Bow / Black Nylon,0
CLEARANCE Audrey Floral,Big Bow / Nude Nylon,0
CLEARANCE Audrey Floral,Little Bow / Clip,0
CLEARANCE Audrey Floral,Big Bow / Black Nylon,0
CLEARANCE BE KIND 2.0 (different shades of hearts than the original Be Kind),Be Kind 2.0 / Big Bow,0
CLEARANCE BE KIND 2.0 (different shades of hearts than the original Be Kind),Be Kind 2.0 / Little Bow,0
CLEARANCE FLORAL 2,Floral 6 / Little Bow,0
CLEARANCE FLORAL 2,Floral 5 / Big Bow,0
CLEARANCE FLORAL 2,Floral 8 / Big Bow,0
CLEARANCE FLORAL 2,Floral 8 / Little Bow,0
CLEARANCE FLORAL 2,Floral 5 / Little Bow,0
CLEARANCE FLORAL 2,Floral 7 / Little Bow,0
CLEARANCE FLORAL 2,Floral 7 / Big Bow,0
CLEARANCE FLORAL 3,Floral 12 / Little Bow,0
CLEARANCE FLORAL 3,Floral 10 / Little Bow,0
CLEARANCE FLORAL 3,Floral 12 / Big Bow,0
CLEARANCE FLORAL 3,Floral 10 / Big Bow,0
CLEARANCE FLORAL 3,Floral 13 / Little Bow,0
CLEARANCE FLORAL 3,Floral 9 / Little Bow,0
CLEARANCE FLORAL 3,Floral 11 / Little Bow,0
CLEARANCE FLORAL 4,Floral 18 / Little Bow,0
CLEARANCE FLORAL 4,Floral 18 / Big Bow,0
CLEARANCE FLORAL 4,Floral 14 / Big Bow,0
CLEARANCE FLORAL 4,Floral 16 / Big Bow,0
CLEARANCE FLORAL 4,Floral 19 / Little Bow,0
CLEARANCE FLORAL 4,Floral 17 / Little Bow,0
CLEARANCE FLORAL 4,Floral 15 / Little Bow,0
CLEARANCE FLORAL 4,Floral 14 / Little Bow,0
CLEARANCE FLORAL 5,Floral 20 / Big Bow,0
CLEARANCE FLORAL 5,Floral 21 / Big Bow,0
CLEARANCE FLORAL 5,Floral 21 / Little Bow,0
CLEARANCE FLORAL 5,Floral 22 / Big Bow,0
CLEARANCE FLORAL 5,Floral 22 / Little Bow,0
CLEARANCE FLORAL 5,Floral 20 / Little Bow,0
CLEARANCE FLORAL 6,Floral 27 / Big Bow,0
CLEARANCE FLORAL 6,Floral 24 / Little Bow,0
CLEARANCE FLORAL 6,Floral 30 / Big Bow,0
CLEARANCE FLORAL 6,Floral 29 / Little Bow,0
CLEARANCE FLORAL 6,Floral 26 / Little Bow,0
CLEARANCE FLORAL 6,Floral 30 / Little Bow,0
CLEARANCE FLORAL 6,Floral 24 / Big Bow,0
CLEARANCE FLORAL 6,Floral 28 / Big Bow,0
CLEARANCE FLORAL 6,Floral 29 / Big Bow,0
CLEARANCE FLORALS,Floral 2 / Little Bow,0
CLEARANCE FLORALS,Floral 3 / Little Bow,0
CLEARANCE FLORALS,Floral 3 / Big Bow,0
CLEARANCE FLORALS,Floral 1 / Little Bow,0
CLEARANCE FLORALS,Floral 4 / Little Bow,0
CLEARANCE FLORALS,Floral 2 / Big Bow,0
CLEARANCE FRUIT,Lemon / Big Bow,0
CLEARANCE FRUIT,Citrus / Little Bow,0
CLEARANCE FRUIT,Lemon / Little Bow,0
CLEARANCE FRUIT,Pineapple / Little Bow,0
CLEARANCE FRUIT,Cherries / Little Bow,0
CLEARANCE FRUIT,Pineapple / Big Bow,0
CLEARANCE FRUIT,Watermelon / Big Bow,0
CLEARANCE FRUIT,Watermelon / Little Bow,0
CLEARANCE GINGHAM,Gingham 2 / Little Bow,0
CLEARANCE GINGHAM,Gingham 1 / Big Bow,0
CLEARANCE GINGHAM,Gingham 1 / Little Bow,0
CLEARANCE GINGHAM,Gingham 3 / Big Bow,0
CLEARANCE GINGHAM,Gingham 2 / Big Bow,0
CLEARANCE HIPPIE,Hippie Van / Little,0
CLEARANCE HIPPIE,Hippie Slouth / Little,0
CLEARANCE HIPPIE,Dream Catcher / Little,0
CLEARANCE HIPPIE,Tie-Dye Peace Signs / Little,0
CLEARANCE HIPPIE,Tie-Dye Peace Signs / Big,0
CLEARANCE PAISLEY ,Paisley 4 / Little Bow,0
CLEARANCE PAISLEY ,Paisley 2 / Big Bow,0
CLEARANCE PAISLEY ,Paisley 1 / Big Bow,0
CLEARANCE PRINTS,Strokes / Little,0
CLEARANCE PRINTS,Zig Zag / Big,0
CLEARANCE PRINTS,Zig Zag / Little,0
CLEARANCE PRINTS 2,Hippie Tie-Dye / Big Bow,0
CLEARANCE PRINTS 2,Hippie Tie-Dye / Little Bow,0
CLEARANCE PRINTS 2,Aztec / Big Bow,0
CLEARANCE PRINTS 2,Aztec / Little Bow,0
CLEARANCE SOLIDS,Light purple / Little Bow,0
CLEARANCE SOLIDS,Sweater Charcoal / Little Bow,0
CLEARANCE SOLIDS,Light purple / Big Bow,0
CLEARANCE SOLIDS,Sweater Charcoal / Big Bow,0
CLEARANCE STRIPES,Maroon Stripes / Little Bow,0
CLEARANCE STRIPES,Peach Stripes / Big Bow,0
CLEARANCE STRIPES,Peach Stripes / Little Bow,0
CLEARANCE STRIPES,Coral Stripes / Little Bow,0
CLEARANCE STRIPES,Lt. Pink Stripes / Big Bow,0
CLEARANCE STRIPES,Royal Stripes / Little Bow,0
CLEARANCE STRIPES,Royal Stripes / Big Bow,0
CLEARANCE STRIPES,Maroon Stripes / Big Bow,0
CLEARANCE STRIPES,Lt. Pink Stripes / Little Bow,0
CLEARANCE STRIPES,Black Stripes / Big Bow,0
CLEARANCE STRIPES,Coral Stripes / Big Bow,0
CLEARANCE STRIPES,Black Stripes / Little Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 8 / Big Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 10 / Little Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 4 / Little Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 3 / Little Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 5 / Big Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 5 / Little Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 2 / Little Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 1 / Little Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 6 / Little Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 7 / Little Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 10 / Big Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 9 / Big Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 1 / Big Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 2 / Big Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 3 / Big Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 11 / Little Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 6 / Big Bow,0
CLEARANCE TIE-DYE COLLECTION ,Tie-Dye 9 / Little Bow,0
CLEARANCE VELVET'S,Boho Feathers / Big Bow,0
CLEARANCE VELVET'S,Dragonfly / Little Bow,0
